area_name,emirate,verified_emirate,keep_for_dubai,source,times_seen_in_results
Al Athbah,Dubai,Dubai,true,seed,0
Al Awir,Dubai,Dubai,true,seed,0
Al Badaa,Dubai,Dubai,true,seed,0
Al Barari,Dubai,Dubai,true,seed,4
Al Barsha,Dubai,Dubai,true,seed,61
Al Furjan,Dubai,Dubai,true,seed,3
Al Garhoud,Dubai,Dubai,true,seed,13
Al Habtoor Polo Resort and Club - The Residences,Dubai,Dubai,true,seed,0
Al Jaddaf,Dubai,Dubai,true,seed,0
Al Khawaneej,Dubai,Dubai,true,seed,3
Al Mamzar,Dubai,Dubai,true,seed,9
Al Manara,Dubai,Dubai,true,seed,6
Al Mina,Dubai,Dubai,true,seed,7
Al Mizhar,Dubai,Dubai,true,seed,0
Al Quoz,Dubai,Dubai,true,seed,132
Al Rashidiya,Dubai,Dubai,true,seed,3
Al Ruwayyah,Dubai,Dubai,true,seed,0
Al Safa,Dubai,Dubai,true,seed,11
Al Satwa,Dubai,Dubai,true,seed,5
Al Sufouh,Dubai,Dubai,true,seed,37
Al Twar,Dubai,Dubai,true,seed,3
Al Waha,Dubai,Dubai,true,seed,0
Al Warqaa,Dubai,Dubai,true,seed,0
Al Wasl,Dubai,Dubai,true,seed,37
Arabian Ranches,Dubai,Dubai,true,seed,14
Arabian Ranches 2,Dubai,Dubai,true,seed,1
Arabian Ranches 3,Dubai,Dubai,true,seed,3
Arjan,Dubai,Dubai,true,seed,1
Athlon by Aldar,Dubai,Dubai,true,seed,0
Barsha Heights (Tecom),Dubai,Dubai,true,seed,0
Bianca,Dubai,Dubai,true,seed,0
Bluewaters Island,Dubai,Dubai,true,seed,1
Bur Dubai,Dubai,Dubai,true,seed,23
Business Bay,Dubai,Dubai,true,seed,248
California Village,Dubai,Dubai,true,seed,0
Cherrywoods,Dubai,Dubai,true,seed,0
City of Arabia,Dubai,Dubai,true,seed,0
Culture Village (Jaddaf Waterfront),Dubai,Dubai,true,seed,0
DAMAC Hills,Dubai,Dubai,true,seed,5
