area_name,emirate,source,times_seen_in_results
Al Athbah,Dubai,seed,0
Al Awir,Dubai,seed,0
Al Badaa,Dubai,seed,0
Al Barari,Dubai,seed,4
Al Barsha,Dubai,seed,61
Al Furjan,Dubai,seed,3
Al Garhoud,Dubai,seed,13
Al Habtoor Polo Resort and Club - The Residences,Dubai,seed,0
Al Jaddaf,Dubai,seed,0
Al Khawaneej,Dubai,seed,3
Al Mamzar,Dubai,seed,9
Al Manara,Dubai,seed,6
Al Mina,Dubai,seed,7
Al Mizhar,Dubai,seed,0
Al Quoz,Dubai,seed,132
Al Rashidiya,Dubai,seed,3
Al Ruwayyah,Dubai,seed,0
Al Safa,Dubai,seed,11
Al Satwa,Dubai,seed,5
Al Sufouh,Dubai,seed,37
Al Twar,Dubai,seed,3
Al Waha,Dubai,seed,0
Al Warqaa,Dubai,seed,0
Al Wasl,Dubai,seed,37
Arabian Ranches,Dubai,seed,14
Arabian Ranches 2,Dubai,seed,1
Arabian Ranches 3,Dubai,seed,3
Arjan,Dubai,seed,1
Athlon by Aldar,Dubai,seed,0
Barsha Heights (Tecom),Dubai,seed,0
Bianca,Dubai,seed,0
Bluewaters Island,Dubai,seed,1
Bur Dubai,Dubai,seed,23
Business Bay,Dubai,seed,248
California Village,Dubai,seed,0
Cherrywoods,Dubai,seed,0
City of Arabia,Dubai,seed,0
Culture Village (Jaddaf Waterfront),Dubai,seed,0
DAMAC Hills,Dubai,seed,5
DAMAC Hills 2 (Akoya by DAMAC),Dubai,seed,0
DAMAC Islands,Dubai,seed,0
DAMAC Islands 2,Dubai,seed,0
DAMAC Lagoons,Dubai,seed,0
DAMAC Sun City,Dubai,seed,0
Deira,Dubai,seed,55
DIFC,Dubai,seed,35
DIFC Zabeel District,Dubai,seed,0
Discovery Gardens,Dubai,seed,1
District 11,Dubai,seed,0
District 7,Dubai,seed,0
District One,Dubai,seed,0
District One West,Dubai,seed,0
Downtown Dubai,Dubai,seed,135
Dubai Creek Harbour,Dubai,seed,6
Dubai Design District (D3),Dubai,seed,0
Dubai Festival City,Dubai,seed,5
Dubai Harbour,Dubai,seed,0
Dubai Hills Estate,Dubai,seed,0
Dubai Industrial City,Dubai,seed,0
Dubai Internet City,Dubai,seed,10
Dubai Investment Park (DIP),Dubai,seed,0
Dubai Islands,Dubai,seed,0
Dubai Land Residence Complex (DLRC),Dubai,seed,0
Dubai Lifestyle City,Dubai,seed,0
Dubai Marina,Dubai,seed,140
Dubai Maritime City,Dubai,seed,0
Dubai Media City,Dubai,seed,22
Dubai Production City (IMPZ),Dubai,seed,0
Dubai Science Park,Dubai,seed,0
Dubai Silicon Oasis (DSO),Dubai,seed,0
Dubai South,Dubai,seed,4
Dubai Sports City,Dubai,seed,5
Dubai Studio City,Dubai,seed,7
Dubai Waterfront,Dubai,seed,0
Dubai World Trade Centre (DWTC),Dubai,seed,0
Dubailand,Dubai,seed,5
Eden Hills,Dubai,seed,0
Emirates Hills,Dubai,seed,1
Expo City,Dubai,seed,0
Falcon City of Wonders,Dubai,seed,1
Ghaf Woods,Dubai,seed,0
Green Community,Dubai,seed,0
Haven by Aldar,Dubai,seed,0
International City,Dubai,seed,0
Jebel Ali,Dubai,seed,0
Jumeirah,Dubai,seed,30
Jumeirah Beach Residence (JBR),Dubai,seed,0
Jumeirah Golf Estates,Dubai,seed,13
Jumeirah Heights,Dubai,seed,0
Jumeirah Islands,Dubai,seed,0
Jumeirah Lake Towers (JLT),Dubai,seed,0
Jumeirah Park,Dubai,seed,1
Jumeirah Village Circle (JVC),Dubai,seed,0
Jumeirah Village Triangle (JVT),Dubai,seed,0
Living Legends,Dubai,seed,0
Liwan,Dubai,seed,6
Liwan 2,Dubai,seed,0
Majan,Dubai,seed,1
Meydan,Dubai,seed,0
Meydan Horizon,Dubai,seed,0
Mina Rashid,Dubai,seed,0
Mirdif,Dubai,seed,4
Mohammed Bin Rashid City (MBR City),Dubai,seed,0
Motor City,Dubai,seed,0
Mudon,Dubai,seed,1
Muhaisnah,Dubai,seed,5
Nad Al Hamar,Dubai,seed,0
Nad Al Sheba,Dubai,seed,8
Palm Jebel Ali,Dubai,seed,0
Palm Jumeirah,Dubai,seed,133
Paradise Hills,Dubai,seed,0
Pearl Jumeirah,Dubai,seed,0
R. Hills,Dubai,seed,0
Ras Al Khor,Dubai,seed,13
Reem,Dubai,seed,0
Remraam,Dubai,seed,1
Reportage Village,Dubai,seed,0
Rukan,Dubai,seed,0
Serena,Dubai,seed,0
Sheikh Zayed Road,Dubai,seed,0
Sobha Elwood,Dubai,seed,0
Sobha Hartland,Dubai,seed,0
Sobha Hartland 2,Dubai,seed,0
Sobha Reserve,Dubai,seed,0
Taormina Village 1,Dubai,seed,0
The Acres,Dubai,seed,0
The Greens,Dubai,seed,70
The Heights Country Club and Wellness,Dubai,seed,0
The Hills,Dubai,seed,0
The Lakes,Dubai,seed,0
The Meadows,Dubai,seed,0
The Oasis by Emaar,Dubai,seed,0
The Palmarosa,Dubai,seed,0
The Springs,Dubai,seed,0
The Sustainable City,Dubai,seed,1
The Valley by Emaar,Dubai,seed,0
The Views,Dubai,seed,0
The Villa,Dubai,seed,1
The Wilds,Dubai,seed,0
The World Islands,Dubai,seed,0
Tilal Al Ghaf,Dubai,seed,2
Town Square,Dubai,seed,4
Umm Al Sheif,Dubai,seed,12
Umm Suqeim,Dubai,seed,6
Villanova,Dubai,seed,0
Wasl Gate,Dubai,seed,0
Za'abeel,Dubai,seed,3
2 Al Nuaimia,Dubai,loop,7
3 Al Nuaimia,Dubai,loop,8
3 etages,Dubai,loop,2
Abu Hail,Dubai,loop,9
Ajman Industrial 2,Dubai,loop,3
AKOYA,Dubai,loop,2
Al Amerah,Dubai,loop,2
Al Awir Second,Dubai,loop,1
Al Bada',Dubai,loop,2
Al Baraha,Dubai,loop,2
Al Barsha First,Dubai,loop,58
Al Barsha Heights,Dubai,loop,4
Al Barsha South,Dubai,loop,12
Al Barsha South Fifth,Dubai,loop,37
Al Barsha South Fourth,Dubai,loop,58
Al Barsha South Third,Dubai,loop,12
Al Barsha Third,Dubai,loop,8
Al Bateen,Dubai,loop,3
Al Bustan,Dubai,loop,3
Al Buteen,Dubai,loop,3
Al Corniche,Dubai,loop,3
Al Danah,Dubai,loop,9
Al Fahidi,Dubai,loop,10
Al Forsan Village,Dubai,loop,4
Al Hamidiya 1,Dubai,loop,3
Al Hamriya,Dubai,loop,8
Al Hebiah Fifth,Dubai,loop,6
Al Hebiah First,Dubai,loop,137
Al Hebiah Fourth,Dubai,loop,6
Al Hebiah Second,Dubai,loop,8
Al Hebiah Sixth,Dubai,loop,1
Al Hebiah Third,Dubai,loop,2
Al Hisn,Dubai,loop,1
Al Hudaiba,Dubai,loop,4
Al Jadaf,Dubai,loop,27
Al Jerf 1,Dubai,loop,2
Al Jerf 2,Dubai,loop,7
Al Jerf Industrial 1,Dubai,loop,4
Al Jerf Industrial 3,Dubai,loop,4
Al jerf industrial Area 3,Dubai,loop,3
Al Karama,Dubai,loop,11
Al Khabaisi,Dubai,loop,10
Al Khan,Dubai,loop,13
Al Khawaneej 2,Dubai,loop,3
Al Kheeran,Dubai,loop,5
Al Kheeran First,Dubai,loop,5
